X	Y	T
686104.0000	103.2600	16.83275698
686104.0000	171.0700	16.48475014
686104.0000	257.8900	16.12044776
686104.0000	451.7400	15.70787784
686104.0000	573.8600	15.31245572
686104.0000	444.6600	14.93398769
686104.0000	435.2200	14.58469158
686104.0000	518.1800	14.26559102
686104.0000	545.4100	13.94897132
686104.0000	471.2100	13.62153616
686104.0000	350.8400	13.31267877
686104.0000	176.4500	13.03551382
686104.0000	49.8100	12.78989689
686104.0000	50.8500	12.53932619
686104.0000	144.4200	12.30287466
686104.0000	205.1200	12.06783401
686104.0000	152.9300	11.80901325
686104.0000	104.8500	11.56903020
686104.0000	80.4800	11.37545738
686104.0000	222.9100	11.21113605
686104.0000	392.3000	10.97036037
686104.0000	571.0600	10.79421753
686104.0000	666.8600	10.63289047
686104.0000	660.4900	10.45858692
686104.0000	630.6300	10.34086509
686104.0000	623.9200	10.23885859
686104.0000	624.8700	10.14245225
686104.0000	609.2900	10.09064672
686104.0000	563.5000	10.07905448
686104.0000	612.9300	10.06114684
686104.0000	648.3900	10.07290454
686104.0000	678.8400	10.10680638
686104.0000	633.8800	10.17490750
686104.0000	604.8800	10.25339866
686104.0000	631.1000	10.30770596
686104.0000	633.5000	10.33958019
686104.0000	623.3300	10.41009390
686104.0000	627.2400	10.52737051
686104.0000	634.8100	10.67659813
686104.0000	645.4000	10.83931190
686104.0000	646.3600	11.02933149
686104.0000	624.8800	11.20663440
686104.0000	637.5700	11.38300453
686104.0000	642.8800	11.58185642
686104.0000	657.4800	11.80532187
686104.0000	624.7500	12.03084984
686104.0000	590.5100	12.26520157
686104.0000	595.5200	12.50782312
686104.0000	550.7700	12.77522794
686104.0000	476.6400	13.05101453
686104.0000	405.9500	13.34041126
686104.0000	420.7700	13.66393707
686104.0000	415.8600	13.98019518
686104.0000	416.6900	14.29713788
686104.0000	518.5500	14.62736054
686104.0000	547.0700	14.94232191
686104.0000	531.5800	15.26696936
686104.0000	452.5000	15.60622236
686104.0000	348.6700	15.95669796
686104.0000	256.2400	16.32147327
686104.0000	140.0100	16.68718732
686104.0000	131.7500	17.04151525
687102.0000	443.7200	16.34246058
688293.0000	514.4200	15.75487576
689490.0000	47.6800	15.06460282
690297.0000	17.9800	14.79473281
691495.0000	41.5600	14.28676369
693096.0000	-196.7300	13.84862200
694611.0000	97.4300	13.62697952
695888.0000	540.2400	13.55338309
696705.0000	603.0100	13.71685683
697493.0000	521.4600	13.68771126
698695.0000	332.9300	13.93085430
699895.0000	429.8100	14.24210652
700692.0000	285.3800	14.51739696
692294.0000	-30.9800	13.94490457
693894.0000	118.6700	13.58119168
701494.0000	549.1000	14.66837763
702294.0000	623.1200	15.07761527
703094.0000	687.5300	15.47528707
703894.0000	593.0100	15.85243257
704727.0000	770.1500	16.27273638
705493.0000	715.7100	16.68264393
688695.0000	204.7800	15.12647165
690695.0000	149.4100	14.15707130
695094.0000	438.7800	13.15568030
686694.0000	302.6600	16.17540115
687492.0000	559.9200	15.68271960
688155.0000	270.0400	15.18470049
689236.0000	121.1900	14.60676608
690037.0000	340.8300	14.21881286
691561.0000	130.6300	13.68599167
693154.0000	-231.2500	13.20848810
695893.0000	486.5000	12.95181985
696692.0000	653.8700	13.03759866
697892.0000	488.3500	13.15891427
699109.0000	290.9000	13.60763869
700695.0000	389.5200	13.92341896
704293.0000	755.8300	15.67740507
692474.0000	-82.3600	13.33842083
693892.0000	110.5700	12.99128537
694695.0000	202.0800	12.75931039
700038.0000	116.3100	13.64412340
701494.0000	543.2200	14.16040942
702293.0000	529.6400	14.54905258
703094.0000	604.8000	14.94183362
705094.0000	687.2600	15.95909756
691100.0000	239.1600	13.45167432
686693.0000	529.9400	15.65952807
687676.0000	398.9400	15.09101008
688555.0000	289.0000	14.56118573
689401.0000	398.9500	14.00681617
690034.0000	380.6800	13.67342422
691707.0000	224.0300	13.07885089
692834.0000	-26.5000	12.73941431
693476.0000	-24.4400	12.55376516
695494.0000	326.8900	12.47938331
696294.0000	475.3600	12.47782500
697092.0000	619.8500	12.56628622
697895.0000	449.0600	12.57260518
698694.0000	294.7800	12.92979874
699451.0000	178.5000	13.10616101
700694.0000	388.4200	13.37704649
703893.0000	614.7500	14.94610270
694296.0000	-46.6100	12.35100816
701495.0000	335.4900	13.60676952
702297.0000	411.0400	14.02436651
703092.0000	464.7000	14.39853628
704696.0000	758.5200	15.33554961
705496.0000	487.4500	15.72025416
688193.0000	499.0300	14.41176901
695097.0000	346.7200	11.93553659
695896.0000	317.3900	11.94056130
696690.0000	537.2800	11.99283185
699893.0000	-4.6800	12.63437725
686692.0000	645.1900	15.17844497
687495.0000	568.4500	14.66291678
689077.0000	514.7400	13.74649428
689898.0000	254.9000	13.13992073
690510.0000	189.0600	13.00702484
691311.0000	25.0300	12.69306775
692235.0000	-36.2700	12.41172645
693034.0000	-250.3700	12.13991146
693893.0000	-172.6400	11.93315915
697493.0000	444.4000	11.90251188
698691.0000	337.6800	12.34520957
700694.0000	187.1600	12.79921989
701891.0000	84.0700	13.39963011
705097.0000	697.7700	15.09811698
702693.0000	257.3700	13.65677756
703497.0000	410.5900	14.06777979
